,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
126,fermentation,'Any enzymatic transformation of organic substrates especially carbohydrates generally accompanied by the evolution of gas.','the process of chemical change caused by the action of yeast or bacteria often changing sugar to alcohol',15,18,"Yeast or bacteria can change sugar into alcohol, which is a chemical switch-up.",13,0.81971395
127,fern,'Any of a large number of vascular plants composing the division Polypodiophyta without flowers and fruits.','a plant with large attractive leaves and no flowers that grows in wet areas or is grown in a pot. There are many types of fern.',16,26,A big plant with pretty leaves but no flowers. It likes wet spots or living in a pot. There are lots of fern kinds.,24,0.8549379
128,financing,'Procurement of monetary resources or credit to operate a business or acquire assets.','money used to run a business an activity or a project',13,11,Money for running a business or doing a project.,9,0.81096816
129,flooding,'A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters and/or the unusual and rapid accumulation or runoff of surface waters from any source.','large amounts of water covering an area that is usually dry; the fact of this happening',37,16,Lots of water on a place that is normally dry; the thing that happens when this occurs.,17,0.79331195
130,fluoridation,'The addition of the fluorine ion to municipal water supplies in a final concentration of 0.8-1.6 ppm (parts per million) to help prevent dental caries in children.','the practice of adding fluoride to drinking water to prevent tooth decay (= damage from natural causes or lack of care)',27,21,We put a tiny thing called fluoride in our drinking water to help keep our teeth strong and stop them from getting holes.,23,0.7473705
131,fluorine,'A gaseous chemical element with symbol F and atomic number 9; a member of the halide family it is the most electronegative element and the most chemically energetic of the nonmetallic elements; highly toxic and corrosive; used in rocket fuels and as a chemical intermediate.','a chemical element. Fluorine is a poisonous pale yellow gas and is very reactive.',45,14,"Fluorine is a gas, it's pale yellow and very dangerous. It reacts a lot with other things.",17,0.87013876
132,foliage,'The leaves of a plant together.','the leaves of a tree or plant; leaves and branches together',6,11,the green parts of a tree or plant where the leaves and branches are,14,0.82324445
133,foodstuff,'A substance that can be used or prepared for use as food.','any substance that is used as food',12,7,anything that you eat,4,0.69112957
134,forecast,'An estimate of a future condition.','a statement about what will happen in the future based on information that is available now',6,16,"a guess about what might come next, using what we know today",12,0.8001901
135,forestry,'The management of forest lands for wood forages water wildlife and recreation.','the science or practice of planting and taking care of trees and forests',12,13,the work of planting and looking after trees and woods,10,0.8321518
136,fumigation,'The use of a chemical compound in a gaseous state to kill insects nematodes arachnids rodents weeds and fungi in confined or inaccessible locations; also used to control weeds nematodes and insects in the field.','the use of special chemicals smoke or gas to destroy the harmful insects or bacteria in a place',35,18,They use special stuff like smoke or gas to get rid of bad bugs or tiny germs in a place.,20,0.79928577
137,fungicide,'A chemical used to kill or halt the development of fungi that cause plant disease.','a substance that kills fungus',15,5,a thing that stops mold,5,0.66791254
138,gasohol,'A mixture of 80% or 90% petrol with 20% or 10% ethyl alcohol for use as a fuel in internal combustion engines.','a mixture of petrol and alcohol that can be used in cars',22,12,A mix of car fuel and drink stuff that cars can use.,12,0.817011
